CONTEXTID,CONTEXTNAME,CONTEXTPARENTCONTEXTID,PATIENTID,ENTERPRISEID,FIRSTNAME,LASTNAME,MIDDLEINITIAL,NAMESUFFIX,SEX,DOB,ADDRESS,ADDRESS2,CITY,STATE,ZIP,PATIENTEMPLOYERID,PATIENTHOMEPHONE,WORKPHONE,MOBILEPHONE,CONTACTPREFERENCE,EMAIL,DONOTCALLYN,ETHNICITY,CDCETHNICITYCODE,RACE,CDCRACECODE,LANGUAGE,ISO6392CODE,MARITALSTATUS,DECEASEDDATE,PATIENTSTATUS,HOLDSTATEMENTREASON,NEWPATIENTID,REGISTRATIONDATE,PRIMARYPROVIDERID,PREFERREDLABID,SELFPAYRESTRICTIONYN,OCCUPATION,REFERRALSOURCE,REFERRALSOURCEOTHER,GUARANTORFIRSTNAME,GUARANTORLASTNAME,GUARANTORMIDDLEINITIAL,GUARANTORNAMESUFFIX,GUARANTORDOB,GUARANTORSSN,GUARANTORRELATIONSHIP,GUARANTORADDRESS,GUARANTORADDRESS2,GUARANTORCITY,GUARANTORSTATE,GUARANTORZIP,GUARANTOREMPLOYERID,GUARDIANFIRSTNAME,GUARDIANLASTNAME,GUARDIANMIDDLEINITIAL,GUARDIANNAMESUFFIX,EMERGENCYCONTACTNAME,EMERGENCYCONTACTRELATIONSHIP,EMERGENCYCONTACTPHONE,PATIENTSSN,REGISTRATIONDEPARTMENTID,CURRENTDEPARTMENTID,PROVIDERGROUPID,UNCONFIRMEDFAMILYSIZE,UNCONFINCOMEPERPAYPERIOD,UNCONFIRMEDPAYPERIOD,UNCONFIRMEDYEARLYINCOME,UNCONFIRMEDPOVERTYLEVEL,UNCONFIRMEDFAMILYSZEDECLYN,UNCONFIRMEDINCOMEDECLINEDYN,GUARANTORPHONE,AGRICULTURALWORKER,AGRICULTURALWORKERTYPES,HOMELESSSTATUS,HOMELESSSTATUSTYPES,SCHOOLBASEDHEALTHCENTERPNT,VETERANSTATUS,TESTPATIENTYN,PRIVACYNOTICEGIVENFLAG,PRIVACYNOTICEGIVENDATE,PRIVACYNOTICEGIVENDEPTID,PRIVACYNOTICEGIVENBY,PRIVNOTICENOTGIVENREASON,PRIVNOTICENOTGIVENNOTE,PATIENTSIGONFILEFLAG,PATIENTSIGEFFECTIVEDATE,PATIENTSIGEXPIRATIONDATE,INSUREDSIGONFILEFLAG,INSUREDSIGEFFECTIVEDATE,INSUREDSIGEXPIRATIONDATE,CONSENTTOCALLFLAG,CONSENTTOCALLEFFDATE,GENDERIDENTITY,SEXUALORIENTATION,CONSENTTOTEXTYN,PUBLICHOUSING,DEFAULTPRESCRIPTIONPROVID,LASTUPDATED,FAMILYID,SMSOPTINDATE,DEFAULTIMAGINGPROVIDERID,GUARANTOREMAIL,TRANSLATEDHOMEPHONEINDEX,TRANSLATEDWORKPHONEINDEX,TRANSLATEDMOBILEPHONEINDEX,DELETEDDATETIME,DELETEDBY,RESTRICTREPORTINGYN,Record_Created_Date,Record_Updated_Date
1001,HC_INSIGHT++,2001,1,12402,Shelley,Allen,d,MD,M,00:00.0,6141 Andrew Ports Suite 862,Suite 214,Port Frankchester,MI,49738,1866852,909.724.7482,5792504769,274-508-2501,Mail,angela92@example.org,Y,Other,HP,African American,AA,Hindi,1,Divorced,3/24/2018,Active,,,12:33.5,973,137,,Mechanical Engineer,advertisement,n,Brian,Vega,,MD,00:00.0,,institute,42852 Perkins Well Apt. 453,,,VT,75454.0,142610,Donald,Moran,g,IV,,mother,(211)624-0317x5813,17943283.0,2400,2455,1,3.0,,,66449.0,,N,,,,north,,Y,Y,N,Y,,,148.0,,around,This night age community.,,4/24/1990,,,00:00.0,8/14/1987,,00:00.0,,,Y,Y,,00:00.0,,9/18/2018,,christine51@example.com,4.0,,,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,2,12402,Shelley,Allen,d,MD,M,00:00.0,6141 Andrew Ports Suite 862,Suite 214,Port Frankchester,MI,49738,1866852,909.724.7482,5792504769,274-508-2501,Mail,angela92@example.org,Y,Other,HP,African American,AA,Hindi,1,Divorced,3/24/2018,Active,,,12:33.5,1128,148,,Mechanical Engineer,advertisement,n,Brian,Vega,,MD,00:00.0,,institute,42852 Perkins Well Apt. 453,,,VT,75454.0,142610,Donald,Moran,g,IV,,mother,(211)624-0317x5813,17943283.0,2400,2455,1,3.0,,,66449.0,,N,,,,north,,Y,Y,N,Y,,,148.0,,around,This night age community.,,4/24/1990,,,00:00.0,8/14/1987,,00:00.0,,,Y,Y,,00:00.0,,9/18/2018,,christine51@example.com,4.0,,,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,5,12521,Scott,Roberts,v,MD,F,00:00.0,0339 Lisa Fork Apt. 835,Suite 782,Alvarezbury,NH,62639,1387226,(416)556-2207,9422352926,(503)411-4387x385,Mail,eric61@example.org,N,African American,CC,African American,AA,French,1,Single,,Inactive,,,12:33.5,113,110,,Marketing Manager,INTERNET,n,,,,,00:00.0,98667311.0,institute,,,,,1287.0,673807,,,,MD,,Other,,,2371,2497,1,,2347.0,which,,,,N,,N,teach,,Y,,Y,N,Y,,,,college,Operation feel case the likely.,,5/15/2012,,N,00:00.0,8/30/1985,,,,,,N,,00:00.0,,,,ianguerrero@example.com,3.0,,2.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,9,12531,Robert,Simmons,K,DDS,M,00:00.0,98315 Stevenson Garden,Suite 061,South Cathy,HI,39437,1878226,-4989,(954)877-4313x7237,5055954643,Mail,matthew64@example.net,N,African American,CC,Other,AA,Greek,1,Single,,Inactive,,,12:33.5,824,127,Y,Software Developer,Friend,n,,,,,00:00.0,,institute,,Apt. 269,West Bobby,,,1086388,Evan,,r,,Susan Garcia,mother,,71418909.0,2373,2408,1,,,,,,,N,(880)801-3737,Y,,Y,,,N,,,00:00.0,160.0,Dr. Kristina Phillips,,,,,,,,7/29/1990,,00:00.0,,,,Y,,00:00.0,,11/22/2018,,devin22@example.com,10.0,10.0,6.0,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,11,12460,Adrian,Wells,b,MD,M,00:00.0,76268 Holly Radial,Suite 005,Stevenborough,LA,49302,853657,384.722.4776x90274,+1-371-490-2532x61091,990-336-3310,Phone,reynoldsjoseph@example.net,Y,African American,Other,Hispanic,AA,French,1,Single,,Inactive,,,12:33.6,867,102,Y,Software Developer,Other,n,,Kim,v,MD,00:00.0,,father,,,Wrightfort,OH,46217.0,646632,David,Norton,f,Jr.,Shelly Smith,institute,,51195608.0,2238,2365,1,4.0,,,,,,,343.633.8802x7200,,south,Y,,Y,N,,,,149.0,Angela Miller,hour,Score radio specific might stock.,,,8/13/1972,,00:00.0,12/22/1986,,00:00.0,,,,,,00:00.0,,,,,,3.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,12,12374,Emily,Middleton,L,MD,M,00:00.0,77116 Susan Greens,Apt. 616,New Amanda,CA,4552,1144712,(759)597-4705x4342,001-625-599-0616x013,469.572.2194,Mail,millerdavid@example.org,N,Other,CC,Other,CC,german,1,Single,,Active,,,12:33.6,918,129,,Electrician,advertisement,n,Joseph,Price,,DVM,00:00.0,,mother,,Suite 756,Turnerland,,,657195,Jackie,,c,,,institute,,42926304.0,2247,2345,1,,,,41677.0,,,,001-418-936-5740x7654,Y,use,N,Y,Y,Y,Y,,00:00.0,134.0,,,,,,12/7/1981,,00:00.0,5/1/2019,Y,,,,N,N,,00:00.0,,,,,,10.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,16,12457,Tammy,Jacobs,o,MD,M,00:00.0,67225 Amy Prairie,Apt. 476,Phillipsville,CT,42243,911663,9056953726,(755)624-0727x360,(795)575-4331x057,Mail,fmcdowell@example.com,Y,Caucasian,HP,Caucasian,Other,French,1,Married,9/15/1974,Inactive,,,12:33.6,1809,102,N,Marketing Manager,Other,n,Roy,Hendricks,,MD,00:00.0,,mother,,Suite 883,Gatesburgh,FL,,1101848,,,,Jr.,Joseph Dougherty,Other,001-341-511-7693x285,55487075.0,2473,2394,1,2.0,3895.0,,72442.0,,,,,,,N,,,Y,Y,,,,Daniel Harris,individual,New purpose owner.,Y,12/10/1951,1/30/1976,Y,00:00.0,9/27/1996,N,,,,Y,Y,,00:00.0,,5/21/1988,,,6.0,5.0,1.0,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,17,12464,Miranda,Davidson,c,DDS,F,00:00.0,72115 Evans Rue,Suite 918,Port Jennifer,GU,23564,1202885,+1-331-369-0337x38909,+1-813-491-7100x51979,001-488-534-3287x8257,Mail,uhall@example.net,N,African American,AS,Caucasian,CC,Greek,1,Single,,Active,,,12:33.6,232,105,,Mechanical Engineer,INTERNET,n,,Perez,e,MD,00:00.0,,father,,,,,,666761,Carol,Smith,,,,father,695.801.4351x25655,86152900.0,2372,2507,1,9.0,2522.0,,,,Y,Y,+1-744-986-3590x660,N,daughter,Y,,Y,Y,Y,N,,,Theresa Chang,,,N,,,,,11/16/1975,Y,,,,Y,Y,,00:00.0,,3/25/2016,,,1.0,,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,19,12380,Derek,Clark,h,III,F,00:00.0,5888 Sutton Groves,Suite 866,Anthonyburgh,MH,28101,705645,686.891.8648,570.413.8869x095,8119114820,Email,richard48@example.net,Y,Other,AA,Caucasian,HP,Hindi,1,Married,,Inactive,,,12:33.6,1702,149,Y,Graphic Designer,hospital staff,n,Tina,Hart,,Jr.,00:00.0,56119327.0,father,,Apt. 925,Erikamouth,NE,87484.0,2699,Melanie,,r,,,mother,(585)902-9221,98823871.0,2318,2513,1,,4237.0,,,,,Y,(989)679-7650x7538,,scene,N,Y,N,,,,,,,two,,N,,12/2/2000,,00:00.0,7/20/1981,,,,,,,,00:00.0,,,,,,9.0,,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,20,12527,Donna,Mason,B,DDS,F,00:00.0,677 Harvey Hollow Suite 513,Suite 640,Georgemouth,AZ,8546,310978,251.485.8545,5609977519,+1-930-377-4239x4841,Phone,lynnmurray@example.org,Y,African American,CC,Asian,AA,german,1,Divorced,,Active,,,12:33.6,749,132,,Teacher,Other,n,Charles,,f,,00:00.0,,Friend,,,Adamtown,,,1183429,,Tucker,,,Benjamin Webb,Other,619-229-8058x171,81628615.0,2255,2480,1,,3934.0,,74776.0,,,N,(469)900-0047x14734,,executive,,Y,,Y,N,N,,,Sandra Watson,,This parent budget forget affect be well.,,1/27/1980,11/30/1959,,,7/27/1974,,,,,,N,,00:00.0,,,,deleoncolleen@example.net,,5.0,,,,N,00:00.0,00:00.0
